file,type,line,symbol,description,suggestion
"src/main.cpp","spacing",33,"systemCheck","Only one blank line before next top-level function","Insert one additional blank line between top-level functions"
"src/main.cpp","local_variable",87,"wasAuthenticated","Local variable does not use the 'l' prefix","Rename to lWasAuthenticated"
"src/main.cpp","global",100,"s_runBackground","File-scope static uses 's_' prefix instead of 'g_'","Rename to g_runBackground or document 's_' exception"
"src/security/auth.cpp","parameter",29,"username","Parameter missing 'p' prefix","Rename to pUsername"
"src/security/auth.cpp","parameter",29,"password","Parameter missing 'p' prefix","Rename to pPassword"
"src/security/auth.cpp","parameter",39,"username","Parameter missing 'p' prefix","Rename to pUsername"
"src/security/auth.cpp","parameter",39,"password","Parameter missing 'p' prefix","Rename to pPassword"
"src/security/auth.cpp","parameter",49,"username","Parameter missing 'p' prefix","Rename to pUsername"
"src/security/auth.cpp","parameter",49,"password","Parameter missing 'p' prefix","Rename to pPassword"
"src/security/cryptography.cpp","parameter",42,"keyBits","Parameter missing 'p' prefix","Rename to pKeyBits"
"src/security/cryptography.cpp","parameter",52,"key","Parameter missing 'p' prefix","Rename to pKey"
"src/security/cryptography.cpp","parameter",63,"key","Parameter missing 'p' prefix","Rename to pKey"
"src/security/cryptography.cpp","parameter",63,"hashLen","Parameter missing 'p' prefix","Rename to pHashLen"
"src/security/cryptography.cpp","parameter",100,"filePath","Parameter missing 'p' prefix","Rename to pFilePath"
"src/security/cryptography.cpp","parameter",100,"key","Parameter missing 'p' prefix","Rename to pKey"
"src/security/cryptography.cpp","parameter",169,"path","Parameter missing 'p' prefix","Rename to pPath"
"src/security/cryptography.cpp","parameter",178,"password","Parameter missing 'p' prefix","Rename to pPassword"
"src/security/cryptography.cpp","parameter",194,"encPath","Parameter missing 'p' prefix","Rename to pEncPath"
"src/security/cryptography.cpp","parameter",232,"dbPath","Parameter missing 'p' prefix","Rename to pDbPath"
"src/security/cryptography.cpp","parameter",318,"errorMsg","Parameter missing 'p' prefix for out param","Rename to pErrorMsg"
"src/core/payroll.cpp","parameter",47,"emp","Parameter missing 'p' prefix","Rename to pEmp"
"src/core/payroll.cpp","parameter",56,"gross","Parameter missing 'p' prefix","Rename to pGross"
"src/core/payroll.cpp","parameter",61,"gross","Parameter missing 'p' prefix","Rename to pGross"
"src/core/payroll.cpp","parameter",66,"gross","Parameter missing 'p' prefix","Rename to pGross"
"src/core/payroll.cpp","parameter",72,"weeklyGrossAfterDeductions","Parameter name is long and missing 'p' prefix","Rename to pWeeklyGrossAfterDeductions"
"src/core/payroll.cpp","parameter",94,"emp","Parameter missing 'p' prefix","Rename to pEmp"
"src/core/payroll.cpp","local_variable",,"regular,overtimeHours,overtimeRate","Locals missing 'l' prefix","Rename to lRegular, lOvertimeHours, lOvertimeRate"
"src/core/monitor.cpp","multiple",,"addProject(...)","Many parameter and local naming/spacing violations (~120 occurrences)","Apply per-file automated renames: pProjectId/pProjectName/... and l* for locals"
"src/core/monitor.cpp","multiple",,"addEmployee(... hoursWorked, advance)","hoursWorked/advance parameters missing p- prefix; many locals need l- prefix","Rename pHoursWorked, pAdvance; local renames to l*"
"src/core/monitor.cpp","multiple",,"listEmployees(maxRows)","maxRows parameter missing p- prefix; locals need l- prefix","Rename pMaxRows; local renames to l*"
"src/ui/modules/monitorUI.cpp","global",,"s_maxRowsEmployee,s_showHeadersEmployee,weekOptions,weekDates","File-scope statics use s_ or no prefix instead of g_ or l_","Rename to g_maxRowsEmployee/g_weekOptions or move to local l_* depending on intended scope"
"src/ui/modules/payrollUI.cpp","local_variable",,"payrollSummary,totalEmployees,cardWidth,cardHeight,displayedEmployees","Locals/constants not using l_/c_ prefixes","Rename to lPayrollSummary, lTotalEmployees, cCardWidth, cCardHeight, lDisplayedEmployees"
"src/ui/modules/summaryUI.cpp","local_variable",,"payrollSummary,projectSummary,totalEmployees","Locals missing l_ prefix","Rename to lPayrollSummary, lProjectSummary, lTotalEmployees"
"src/ui/modules/summaryUI.cpp","global",,"payslipWeekOptions,selectedPayslipWeekIndex","Module static/ global naming inconsistent","Rename to gPayslipWeekOptions or lPayslipWeekOptions and lSelectedPayslipWeekIndex"
"src/ui/modules/loginUI.cpp","local_variable",,"username,password,loginErrorMessage","Local buffers/vars missing l_ prefix","Rename to lUsername, lPassword, lLoginErrorMessage"
"src/ui/modules/testUI.cpp","local_variable",,"passkey,hashedPasskey,passkeyHashed","Local test vars missing l_ prefix","Rename to lPasskey, lHashedPasskey, lPasskeyHashed"
"src/ui/ui.cpp","parameter",,"constructUI params (a_title, a_fontLocation, a_widthPx, a_heightPx, a_window)","API parameters use a_ prefix instead of p_","Rename to pTitle, pFontLocation, pWidthPx, pHeightPx, pWindow"
"src/ui/ui.cpp","global",,"s_focusFrames","Uses s_ prefix (file-static) — inconsistent","Rename to lFocusFrames if local static or gFocusFrames if module-global"
"src/handler/system.cpp","parameter",,"many functions","Some functions use p_ correctly; others don't — mixed usage","Standardize parameter prefixes to p_* across the file"
"src/handler/print.cpp","parameter_local",,"fetchAllEmployees:dbPath; locals e, buffer, result","Parameters/locals missing prefixes","Rename to pDbPath, lEmployee, lBuffer, lResult"
"src/handler/db.cpp","parameter_local",,"dbPath,values,stmt,row,id","DB adapter parameters and locals missing p_/l_ prefixes","Rename to pDbPath, pValues, lStmt, lRow, lId"
"src/core/headers_and_types","type_naming",,"Employee,Monitor,PayrollSummary,ProjectSummary,Cryptography,Print","Types/classes use PascalCase but README requests lowerCamelCase","Consider renaming types to lowerCamelCase (e.g., employee, monitor) — high-risk change"
"src/ui/modules/accountUI.cpp","local_variable",,"name,position","Locals use plain names instead of l_ prefix","Rename to lName, lPosition"
"other","summary",,"multiple","Other files contain similar parameter/local/global prefix violations","Refer to detailed combined report for per-file actions"
"src/security/cryptography.h","type_naming",,"Cryptography,DBEncryptionSession","Class names PascalCase vs README lowerCamelCase rule","Rename to cryptography, dbEncryptionSession (requires widespread updates)"
"src/handler/print.h","type_naming",,"Print","Class name PascalCase","Rename to print or printModule"
"src/core/monitor.h","type_naming",,"PayrollSummary,ProjectSummary,Monitor","Type names PascalCase","Rename to payrollSummary, projectSummary, monitor"
"src/core/payroll.h","type_naming",,"Employee,PayrollResult","Type names PascalCase","Rename to employee, payrollResult"
"src/handler/system.h","type_naming",,"PartDateTime,ValidationType","Enum names PascalCase","Rename to partDateTime, validationType"

